TIER,VETERAN,WINS,REQUEST_REGION,INACTIVE,HOTSTREAK,QUEUE,LOSSES,FRESHBLOOD,SUMMONERNAME,LEAGUEPOINTS
MASTER,FALSE,72,na1,FALSE,FALSE,RANKED_SOLO_5x5,63,FALSE,gnaw iz ihs,164
MASTER,TRUE,216,na1,FALSE,FALSE,RANKED_SOLO_5x5,217,FALSE,tian yi nan wei,142
MASTER,FALSE,239,na1,FALSE,FALSE,RANKED_SOLO_5x5,225,FALSE,Just A Pleb,359
MASTER,FALSE,108,na1,FALSE,TRUE,RANKED_SOLO_5x5,76,FALSE,Łûnar,295
MASTER,FALSE,203,na1,FALSE,FALSE,RANKED_SOLO_5x5,189,TRUE,Anchor,0
MASTER,FALSE,137,na1,FALSE,TRUE,RANKED_SOLO_5x5,133,TRUE,NG VO TUAN DAT ,1
MASTER,FALSE,125,na1,FALSE,FALSE,RANKED_SOLO_5x5,111,FALSE,Milk Foam,61
MASTER,FALSE,315,na1,FALSE,FALSE,RANKED_SOLO_5x5,277,FALSE,SKT T1 Nickji,131
MASTER,FALSE,165,na1,FALSE,FALSE,RANKED_SOLO_5x5,113,FALSE,Wuri,228
MASTER,FALSE,286,na1,FALSE,FALSE,RANKED_SOLO_5x5,232,TRUE,zIceFire,29
MASTER,FALSE,287,na1,FALSE,FALSE,RANKED_SOLO_5x5,257,TRUE,The Battle Beast,84
MASTER,FALSE,83,na1,FALSE,FALSE,RANKED_SOLO_5x5,75,FALSE,seoks,200
MASTER,FALSE,195,na1,FALSE,FALSE,RANKED_SOLO_5x5,170,FALSE,Pas de Chance,233
MASTER,FALSE,203,na1,FALSE,TRUE,RANKED_SOLO_5x5,169,FALSE,shadowfax8,88
MASTER,FALSE,219,na1,FALSE,FALSE,RANKED_SOLO_5x5,193,FALSE,N1ceJoB,0
MASTER,FALSE,83,na1,FALSE,FALSE,RANKED_SOLO_5x5,75,FALSE,MelonEasy3,51
MASTER,FALSE,127,na1,FALSE,FALSE,RANKED_SOLO_5x5,123,FALSE,LPL Aggro or FF,307
MASTER,FALSE,76,na1,FALSE,FALSE,RANKED_SOLO_5x5,44,TRUE,NOOTROPIC ABUSE,66
MASTER,FALSE,120,na1,FALSE,FALSE,RANKED_SOLO_5x5,89,TRUE,LingLe,327
MASTER,FALSE,442,na1,FALSE,FALSE,RANKED_SOLO_5x5,394,TRUE,Ambitieux,346
MASTER,FALSE,222,na1,FALSE,FALSE,RANKED_SOLO_5x5,219,TRUE,best ivern,1
CHALLENGER,FALSE,181,na1,FALSE,FALSE,RANKED_FLEX_SR,87,FALSE,Naiyoú Lu,690
CHALLENGER,FALSE,214,na1,FALSE,FALSE,RANKED_FLEX_SR,142,FALSE,Andyz,650
CHALLENGER,TRUE,377,na1,FALSE,FALSE,RANKED_FLEX_SR,192,FALSE,TES Karsa,1073
CHALLENGER,FALSE,74,na1,FALSE,FALSE,RANKED_FLEX_SR,15,TRUE,No Gàme No Life,634
CHALLENGER,FALSE,176,na1,FALSE,FALSE,RANKED_FLEX_SR,69,FALSE,PW VX  swzg333,927
MASTER,FALSE,201,oc1,FALSE,TRUE,RANKED_SOLO_5x5,187,TRUE,Calcasey,31
MASTER,FALSE,298,oc1,FALSE,TRUE,RANKED_SOLO_5x5,261,TRUE,Danbi,1
MASTER,FALSE,196,oc1,FALSE,FALSE,RANKED_SOLO_5x5,185,FALSE,JackeyIove,0
MASTER,FALSE,207,oc1,FALSE,FALSE,RANKED_SOLO_5x5,190,FALSE,Cracktoss,311
MASTER,FALSE,216,oc1,FALSE,TRUE,RANKED_SOLO_5x5,199,FALSE,Zeúss,290
MASTER,FALSE,176,oc1,FALSE,FALSE,RANKED_SOLO_5x5,176,FALSE,AuS jenats,2
MASTER,FALSE,118,oc1,FALSE,FALSE,RANKED_SOLO_5x5,82,FALSE,UwU Loli UwU,73
MASTER,FALSE,169,oc1,FALSE,FALSE,RANKED_SOLO_5x5,166,FALSE,Åpple,309
MASTER,FALSE,177,oc1,FALSE,FALSE,RANKED_SOLO_5x5,166,TRUE,notlarsin,16
MASTER,FALSE,288,oc1,FALSE,TRUE,RANKED_SOLO_5x5,232,FALSE,Image,132
MASTER,FALSE,570,oc1,FALSE,TRUE,RANKED_SOLO_5x5,544,TRUE,ElusiveLove,33
MASTER,FALSE,160,oc1,FALSE,FALSE,RANKED_SOLO_5x5,140,TRUE,palmer666,98
MASTER,FALSE,257,oc1,FALSE,TRUE,RANKED_SOLO_5x5,231,TRUE,Weed9,1
CHALLENGER,FALSE,128,na1,FALSE,FALSE,RANKED_FLEX_SR,51,FALSE,mhna fanboy,696
CHALLENGER,FALSE,126,na1,FALSE,TRUE,RANKED_FLEX_SR,60,FALSE,Giê Giê,913
CHALLENGER,FALSE,66,na1,FALSE,FALSE,RANKED_FLEX_SR,27,FALSE,waited,678
CHALLENGER,FALSE,155,na1,FALSE,FALSE,RANKED_FLEX_SR,62,FALSE,douying18720533,967
CHALLENGER,FALSE,191,na1,FALSE,FALSE,RANKED_FLEX_SR,64,FALSE,Yong Le,1170
CHALLENGER,FALSE,95,na1,FALSE,FALSE,RANKED_FLEX_SR,27,FALSE,VeryBang,718
CHALLENGER,FALSE,197,na1,FALSE,TRUE,RANKED_FLEX_SR,115,FALSE,The Great Frog,710
CHALLENGER,FALSE,259,na1,FALSE,FALSE,RANKED_FLEX_SR,198,FALSE, love taoer,679
CHALLENGER,FALSE,146,na1,FALSE,FALSE,RANKED_FLEX_SR,63,FALSE,Limbogazer,760
CHALLENGER,TRUE,216,na1,FALSE,TRUE,RANKED_FLEX_SR,32,FALSE,WX HC9999na,1183
CHALLENGER,FALSE,99,na1,FALSE,TRUE,RANKED_FLEX_SR,29,FALSE,My cat 648,741
GRANDMASTER,FALSE,128,na1,FALSE,FALSE,RANKED_FLEX_SR,80,FALSE,Sharlatan,313
GRANDMASTER,FALSE,112,na1,FALSE,FALSE,RANKED_FLEX_SR,82,TRUE,WoChaoShuaiDer,204
CHALLENGER,FALSE,387,oc1,FALSE,TRUE,RANKED_SOLO_5x5,351,TRUE,Danteh,855
CHALLENGER,TRUE,190,oc1,FALSE,FALSE,RANKED_SOLO_5x5,163,FALSE,wx M297864378,943
CHALLENGER,FALSE,548,oc1,FALSE,FALSE,RANKED_SOLO_5x5,541,TRUE,Sybol,758
CHALLENGER,TRUE,396,oc1,FALSE,FALSE,RANKED_SOLO_5x5,348,FALSE,SexyDDY,1238
CHALLENGER,TRUE,246,oc1,FALSE,FALSE,RANKED_SOLO_5x5,204,FALSE,zenzenzense,1340
CHALLENGER,FALSE,589,oc1,FALSE,FALSE,RANKED_SOLO_5x5,553,TRUE,Nectaar,802
CHALLENGER,TRUE,392,oc1,FALSE,FALSE,RANKED_SOLO_5x5,360,FALSE,Lived,1077
CHALLENGER,TRUE,576,oc1,FALSE,FALSE,RANKED_SOLO_5x5,553,FALSE,its over,966
CHALLENGER,TRUE,305,oc1,FALSE,FALSE,RANKED_SOLO_5x5,267,FALSE,Cupcaké,1088
CHALLENGER,FALSE,456,oc1,FALSE,FALSE,RANKED_SOLO_5x5,377,TRUE,LGC C1 Oner,1020
CHALLENGER,TRUE,719,oc1,FALSE,FALSE,RANKED_SOLO_5x5,690,FALSE,Vietnamese Chovy,935
CHALLENGER,TRUE,188,oc1,FALSE,FALSE,RANKED_SOLO_5x5,140,FALSE,Frosts,1018
CHALLENGER,FALSE,163,oc1,FALSE,FALSE,RANKED_SOLO_5x5,125,FALSE,Envelop,1052
CHALLENGER,TRUE,429,oc1,FALSE,FALSE,RANKED_SOLO_5x5,369,FALSE,allyallyally,1392
CHALLENGER,FALSE,291,oc1,FALSE,TRUE,RANKED_SOLO_5x5,251,FALSE,YoRHa No2 Type E,897
CHALLENGER,FALSE,275,oc1,FALSE,FALSE,RANKED_SOLO_5x5,228,FALSE,fuhasdyfauer,1010
CHALLENGER,FALSE,257,oc1,FALSE,TRUE,RANKED_SOLO_5x5,223,FALSE,Kiitten,982
CHALLENGER,FALSE,247,oc1,FALSE,FALSE,RANKED_SOLO_5x5,220,FALSE,rocco521,1005
CHALLENGER,TRUE,270,oc1,FALSE,FALSE,RANKED_SOLO_5x5,246,FALSE,Coach Curtis,1035
CHALLENGER,TRUE,521,oc1,FALSE,FALSE,RANKED_SOLO_5x5,483,FALSE,Jolyne Cujoh,1051
CHALLENGER,TRUE,382,oc1,FALSE,FALSE,RANKED_SOLO_5x5,326,FALSE,Pabu 1v10,1367
CHALLENGER,FALSE,100,oc1,FALSE,FALSE,RANKED_SOLO_5x5,61,FALSE,doII,846
CHALLENGER,FALSE,198,oc1,FALSE,FALSE,RANKED_SOLO_5x5,169,FALSE,Extremum,852
CHALLENGER,FALSE,104,oc1,FALSE,FALSE,RANKED_SOLO_5x5,62,FALSE,timeless,899
CHALLENGER,FALSE,303,oc1,FALSE,FALSE,RANKED_SOLO_5x5,280,FALSE,kalroc,943
CHALLENGER,TRUE,225,oc1,FALSE,FALSE,RANKED_SOLO_5x5,194,FALSE,Luq1,975
MASTER,FALSE,328,oc1,FALSE,FALSE,RANKED_SOLO_5x5,231,TRUE,I Jungle Naked,95
MASTER,FALSE,226,oc1,FALSE,FALSE,RANKED_SOLO_5x5,212,FALSE,NO 85 WoWCKH,72
MASTER,FALSE,324,oc1,FALSE,FALSE,RANKED_SOLO_5x5,315,TRUE,Querate,42
MASTER,FALSE,157,oc1,FALSE,FALSE,RANKED_SOLO_5x5,113,FALSE,Tyran,72
MASTER,FALSE,183,oc1,FALSE,FALSE,RANKED_SOLO_5x5,184,TRUE,Kaista,1
MASTER,FALSE,71,oc1,FALSE,FALSE,RANKED_SOLO_5x5,43,FALSE,Gwenliona,307
MASTER,TRUE,514,oc1,FALSE,FALSE,RANKED_SOLO_5x5,484,FALSE,Ryuu117,44
MASTER,FALSE,105,oc1,FALSE,FALSE,RANKED_SOLO_5x5,72,TRUE,rich from erc20,182
